wnid     name                        13_classes
3207941  dishwasher.n.01             Objects
3211117  display.n.06                TV
3211616  display_panel.n.01          TV
3221720  door.n.01                   Wall
3222722  doorframe.n.01              Wall
3231368  drafting_table.n.01         Table
3233905  drawer.n.01                 Furniture
3237340  dresser.n.05                Furniture
3238586  dressing_table.n.01         Table
3246933  drop-leaf_table.n.01        Table
3261776  earphone.n.01               Objects
3262932  easy_chair.n.01             Chair
3273913  electric_refrigerator.n.01  Objects
3309808  fabric.n.01                 Objects
3325088  faucet.n.01                 Objects
3337140  file.n.03                   Objects
3346455  fireplace.n.01              Wall
3365592  floor.n.01                  Floor
3367059  floor_lamp.n.01             Objects
3376595  folding_chair.n.01          Chair
3379051  football_helmet.n.01        Objects
3391301  frame.n.01                  Objects
3405725  furniture.n.01              Furniture
3438257  glass.n.02                  Objects
3452594  grandfather_clock.n.01      Objects
3452741  grand_piano.n.01            Objects
3467517  guitar.n.01                 Objects
3482252  hammock.n.02                Objects
3485997  handle.n.01                 Objects
3488438  handset.n.01                Objects
3490884  hanger.n.02                 Objects
3513137  helmet.n.02                 Objects
3525454  holder.n.01                 Objects
3593526  jar.n.01                    Objects
3603722  jug.n.01                    Objects
3609235  kayak.n.01                  Objects
3612814  kettle.n.01                 Objects
3620967  kitchen_table.n.01          Table
3624134  knife.n.02                  Objects
3636248  lamp.n.01                   Objects
3636649  lamp.n.02                   Objects
3640988  lantern.n.01                Objects
3642806  laptop.n.01                 Objects
3643737  laser_printer.n.01          Objects
3649674  lawn_chair.n.01             Chair
3653583  lectern.n.01                Furniture
3665366  light.n.02                  Objects
3665924  light_bulb.n.01             Objects
3676759  liquid_crystal_display.n.01 TV
3677231  liquid_soap.n.01            Objects
3691459  loudspeaker.n.01            Objects
3693474  love_seat.n.01              Sofa
3710193  mailbox.n.01                Objects
3727837  mat.n.01                    Floor
3759954  microphone.n.01             Objects
3761084  microwave.n.02              Objects
3773035  mirror.n.01                 Wall
3775636  mixing_faucet.n.01          Objects
3782190  monitor.n.04                TV
3786621  morris_chair.n.01           Chair
3797390  mug.n.04                    Objects
3876519  painting.n.01               Picture
3881893  pane.n.01                   Window
3891251  park_bench.n.01             Chair
3899768  patio.n.01                  Objects
3904060  pedestal_table.n.01         Table
3906997  pen.n.01                    Objects
3908831  pendant.n.01                Objects
3909406  pendulum_clock.n.           Wall
3916031  perfume.n.02                Objects
3920867  pew.n.01                    Chair
3928116  piano.n.01                  Objects
3938244  pillow.n.01                 Bed
3956922  plant.n.01                  Objects
3957315  planter.n.03                Objects
3959485  plate.n.04                  Objects
3962852  platform_bed.n.01           Bed
3982430  pool_table.n.01             Table
3990474  pot.n.01                    Objects
3991062  pot.n.04                    Objects
4004475  printer.n.03                Objects
4009801  projector.n.01              TV
4038727  rack.n.01                   Furniture
4047401  railing.n.01                Objects
4061681  reception_desk.n.01         Table
4062428  recliner.n.01               Objects
4074963  remote_control.n.01         Objects
4099969  rocking_chair.n.01          Chair
4101232  roll.n.11                   Objects
4118021  rug.n.01                    Floor
4152593  screen.n.03                 TV
4152829  screen.n.01                 TV
4164868  secretary.n.04              Objects
4177755  settee.n.02                 Sofa
4177820  settle.n.01                 Chair
4183516  shampoo.n.01                Objects
4186051  shaving_cream.n.01          Objects
4190052  shelf.n.01                  Furniture
4192858  shield.n.01                 Objects
4208936  shower.n.01                 Objects
4209613  shower_stall.n.01           Objects
4223580  sink.n.01                   Objects
4225987  skateboard.n.01             Objects
4253437  soap.n.01                   Objects
4254009  soap_dish.n.01              Objects
4255586  soda_can.n.01               Objects
4256520  sofa.n.01                   Sofa
4284002  spoon.n.01                  Objects
4306847  statue.n.01                 Objects
4315948  stereo.n.01                 Objects
4330267  stove.n.02                  Objects
4331277  straight_chair.n.01         Chair
4337974  string.n.01                 Objects
4343346  stud.n.02                   Objects
4344873  studio_couch.n.01           Sofa
4349401  subwoofer.n.01              Objects
4372370  switch.n.01                 Wall
4373704  swivel_chair.n.01           Chair
4379243  table.n.02                  Table
4380533  table_lamp.n.01             Objects
4381587  table-tennis_table.n.01     Table
4398044  teapot.n.01                 Objects
4398951  tea_table.n.01              Table
4401088  telephone.n.01              Objects
4446276  toilet.n.01                 Objects
4447028  toilet_bowl.n.01            Objects
4453156  toothbrush.n.01             Objects
4459362  towel.n.01                  Objects
4460038  towel_ring.n.01             Objects
4466871  trail_bike.n.01             Objects
4476259  tray.n.01                   Objects
4502670  tweeter.n.01                Objects
4515003  upright.n.02                Objects
4516116  urn.n.01                    Objects
4522168  vase.n.01                   Objects
4526964  ventilator.n.01             Objects
4529681  vertical_file.n.01          Objects
4533802  videocassette_recorder.n.01 Objects
4546855  wall.n.01                   Wall
4548280  wall_clock.n.01             Wall
4550184  wardrobe.n.01               Furniture
4553920  washbasin.n.01              Objects
4554684  washer.n.03                 Objects
4559451  water_faucet.n.01           Objects
4569063  webcam.n.01                 Objects
4586225  wind_chime.n.01             Objects
4587648  window.n.01                 Window
4589593  window_frame.n.01           Window
4590263  windowsill.n.01             Window
4590933  windsor_chair.n.01          Chair
4591713  wine_bottle.n.01            Objects
4593077  wing_chair.n.01             Chair
4599124  woofer.n.01                 Objects
4603729  worktable.n.01              Table
4608329  writing_desk.n.02           Table
6277280  television.n.01             TV
6410904  book.n.01                   Books
6415419  notebook.n.01               Objects
6508816  file.n.01                   Objects
6709442  trophy.n.01                 Objects
8266235  table.n.01                  Table
8647616  seat.n.01                   Chair
20000004 headboardbeds               Bed
20000006 kingsizebeds                Bed
20000007 miscbeds                    Bed
20000008 bedcabinet                  Furniture
20000009 boxcabinet                  Furniture
20000010 deskcabinet                 Furniture
20000011 garagecabinet               Furniture
20000012 tallcabinet                 Furniture
20000013 two-doorcabinet             Furniture
20000015 ballchair                   Chair
20000016 barcelonachair              Chair
20000018 beanchair                   Chair
20000020 cantileverchair             Chair
20000021 NO.14chair                  Chair
20000022 rexchair                    Chair
20000023 tulipchair                  Chair
20000024 wassilychair                Chair
20000025 Xchair                      Chair
20000026 zigzagchair                 Chair
20000027 clubchair                   Chair
20000028 doublecouch                 Sofa
20000029 L-shapedcouch               Sofa
20000030 leathercouch                Sofa
20000036 cabinettable                Table
20000037 rectangulartable            Table
20000038 roundtable                  Table
20000039 shorttable                  Table
20000040 sidetable                   Table
20000041 workshoptable               Table
